Time,真实值,预测值
2024/3/28 02:00,87,114.7424557
2024/3/28 03:00,82,148.5320547
2024/3/28 04:00,77,105.7558602
2024/3/28 05:00,39,62.12248263
2024/3/28 06:00,77,83.13729057
2024/3/28 07:00,91,88.22508617
2024/3/28 08:00,105,103.6543794
2024/3/28 09:00,133,133.7732998
2024/3/28 10:00,128,142.1057749
2024/3/28 11:00,126,140.9539353
2024/3/28 12:00,92,105.2028389
2024/3/28 13:00,66,78.32600559
2024/3/28 14:00,50,53.99307008
2024/3/28 15:00,70,71.24733344
2024/3/28 16:00,73,72.07686534
2024/3/28 17:00,77,73.23820999
2024/3/28 18:00,86,86.75957983
2024/3/28 19:00,93,104.0967964
2024/3/28 20:00,105,110.2076813
2024/3/28 21:00,67,71.68975045
2024/3/28 22:00,63,71.41323982
2024/3/28 23:00,63,66.98906973
2024/3/29 00:00,46,49.79010849
2024/3/29 01:00,21,28.05637292
2024/3/29 02:00,22,29.60483245
2024/3/29 03:00,30,37.67894287
2024/3/29 04:00,39,52.83172543
2024/3/29 05:00,55,61.51415924
2024/3/29 06:00,76,76.00331629
2024/3/29 07:00,181,209.557951
2024/3/29 08:00,259,260.6571155
2024/3/29 09:00,118,115.7102429
2024/3/29 10:00,119,105.0092815
2024/3/29 11:00,123,107.9126431
2024/3/29 12:00,92,87.36790322
2024/3/29 13:00,91,94.88899238
2024/3/29 14:00,103,97.70940081
2024/3/29 15:00,102,89.66294145
2024/3/29 16:00,94,95.69087321
2024/3/29 17:00,98,109.6823111
2024/3/29 18:00,126,145.4437766
2024/3/29 19:00,108,130.9252403
2024/3/29 20:00,95,113.3599025
2024/3/29 21:00,78,89.46938401
2024/3/29 22:00,61,83.30319695
2024/3/29 23:00,55,71.41323982
2024/3/30 00:00,57,71.13672919
2024/3/30 01:00,41,64.00275492
2024/3/30 02:00,46,75.45029503
2024/3/30 03:00,43,73.01700148
2024/3/30 04:00,41,74.23364826
2024/3/30 05:00,52,69.58826966
2024/3/30 06:00,111,122.6921363
2024/3/30 07:00,191,213.9268189
2024/3/30 08:00,244,296.2716848
2024/3/30 09:00,283,316.4016587
2024/3/30 10:00,320,331.7756498
2024/3/30 11:00,249,286.0960936
2024/3/30 12:00,219,263.6434303
2024/3/30 13:00,200,235.881763
2024/3/30 14:00,138,151.1934696
2024/3/30 15:00,118,117.7564215
2024/3/30 16:00,99,89.3311287
2024/3/30 17:00,112,130.2685276
2024/3/30 18:00,117,129.6394659
2024/3/30 19:00,129,147.3015824
2024/3/30 20:00,132,137.4992806
2024/3/30 21:00,73,77.10935882
2024/3/30 22:00,68,71.80035471
2024/3/30 23:00,80,91.1284478
2024/3/31 00:00,68,77.05405669
2024/3/31 01:00,44,55.15441473
2024/3/31 02:00,47,65.33000594
2024/3/31 03:00,31,37.23652586
2024/3/31 04:00,15,17.32776044
2024/3/31 05:00,44,44.42580226
2024/3/31 06:00,85,85.34937561
2024/3/31 07:00,207,236.0476694
2024/3/31 08:00,230,219.235823
2024/3/31 09:00,181,163.9751735
2024/3/31 10:00,144,129.9643659
2024/3/31 11:00,140,134.1673275
2024/3/31 12:00,204,194.3775173
2024/3/31 13:00,149,142.1144158
2024/3/31 14:00,171,148.552793
2024/3/31 15:00,195,175.4365391
2024/3/31 16:00,152,139.4901571
2024/3/31 17:00,128,132.0105446
2024/3/31 18:00,121,147.623026
2024/3/31 19:00,142,145.7427538
2024/3/31 20:00,131,137.5511263
2024/3/31 21:00,81,92.87046477
2024/3/31 22:00,60,81.14641403
2024/3/31 23:00,57,75.00787802
